0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.99664646,0.9951481,0.9944592,0.99392533,0.9936323,0.99199647,0.99179554,0.99041724,0.9900671,0.9895452,0.9892797,0.9887377,0.98797137,0.98786867,0.98767555,0.98689085,0.98586416,0.9848995,0.98403835,0.9835503,0.98239654,0.9819385,0.9812361,0.98081803,0.9796581,0.97819793,0.97726667,0.9764946,0.974959,0.9742678,0.97211105,0.9714781,0.9696205,0.969286,0.9678011,0.96468073,0.96352106,0.9616942,0.960091,0.9582252,0.9562675,0.9518352,0.94794434,0.94234014,0.9372003,0.9321441,0.9278718,0.9223935,0.91695863,0.904517,0.9024611,0.8944675,0.88957083,0.88095623,0.8696458,0.8628348,0.8552015,0.8450804,0.83402216,0.8158223,0.79586935,0.77135974,0.75223887,0.7377144,0.71727824,0.7047979,0.6894925,0.671484,0.6392846,0.6363078,0.6106358,0.5957553,0.5901356,0.56313926,0.5325352,0.52235323,0.48136544,0.46455327,0.44451553,0.42884594,0.41896197,0.37407738,0.34925,0.33476913,0.31804743,0.30091608,0.29090223,0.255789,0.24313341,0.20847738,0.19459918,0.18714957,0.14233284,0.12374381,0.11325181,0.0867761,0.0592529,0.048784677,0.032310206,0.0064837895
0.99045676,0.98885775,0.9873196,0.9839882,0.98297334,0.98161674,0.98103094,0.97953737,0.9788662,0.9781799,0.9776181,0.9762389,0.9753227,0.9737359,0.973434,0.97170484,0.9709579,0.97042614,0.96902734,0.9678795,0.96663404,0.96461505,0.9636177,0.9620533,0.9605523,0.9586862,0.95776737,0.9554451,0.95490974,0.95359886,0.9493183,0.94810075,0.9460865,0.9448905,0.9432611,0.94166064,0.93821186,0.9360727,0.93423325,0.929234,0.92583627,0.92063415,0.9148107,0.91259193,0.9077413,0.9050636,0.9017773,0.8995213,0.89433336,0.8829786,0.87921965,0.8726063,0.8601808,0.85483205,0.84491676,0.83836925,0.8329401,0.8201327,0.81224906,0.79758775,0.7833227,0.77890074,0.7539343,0.74435395,0.7383716,0.7111083,0.69162333,0.673125,0.66955566,0.6598504,0.6274549,0.6187367,0.58523744,0.56175685,0.5423818,0.5318637,0.5096509,0.47777933,0.45921817,0.43643188,0.40086004,0.38926178,0.35937032,0.32929772,0.3214935,0.27715635,0.26825804,0.25182495,0.23959781,0.21280728,0.2108669,0.16343981,0.1449838,0.09630589,0.08628971,0.07553201,0.061962057,0.043019548,0.03171591,0.01938036
0.9907078,0.985835,0.98182696,0.9790879,0.97758746,0.9763838,0.9751247,0.9722815,0.9702144,0.9691733,0.9681016,0.9661514,0.96499366,0.9632673,0.962989,0.96143335,0.9599817,0.95822674,0.95681906,0.9562537,0.95444477,0.9516709,0.9508013,0.9488454,0.9470093,0.94555706,0.9430266,0.93883646,0.93704927,0.9343159,0.9331928,0.9302476,0.9262457,0.92429245,0.9196165,0.9179581,0.91199934,0.9113129,0.9059702,0.90211314,0.894924,0.8923264,0.8902903,0.8821899,0.87412244,0.8704911,0.8657043,0.85770744,0.854292,0.8423491,0.83693534,0.8288618,0.8181866,0.804871,0.8036665,0.79648656,0.7788565,0.7755639,0.7718384,0.7659312,0.75229955,0.7406272,0.72717017,0.716587,0.6969737,0.67262965,0.64586604,0.6427406,0.6244374,0.604077,0.5837504,0.570169,0.5510122,0.51527846,0.48917088,0.48490942,0.46605164,0.45394918,0.4129895,0.39951274,0.38810137,0.3477485,0.34201595,0.32248938,0.30793682,0.289341,0.27916008,0.24104957,0.22600697,0.21590842,0.19840206,0.16572373,0.13011086,0.1181773,0.101901904,0.087327115,0.06312999,0.034526285,0.031119619,0.0065279044
0.99312335,0.98805606,0.9825048,0.9806097,0.9786967,0.97704124,0.97550464,0.97350276,0.97237885,0.9706185,0.96765274,0.96703905,0.9663169,0.96349907,0.96166533,0.9599177,0.95867056,0.9581704,0.95672464,0.9545328,0.95276344,0.95155025,0.9485985,0.9465696,0.94475824,0.9425329,0.9404839,0.9365599,0.9350761,0.9323088,0.93096733,0.9302576,0.9270513,0.9263929,0.92363524,0.9209571,0.9162334,0.9148839,0.9108853,0.90826803,0.9067989,0.90394235,0.8995897,0.89269453,0.8864855,0.8838775,0.8817053,0.87777805,0.8727715,0.86249644,0.85494465,0.85014784,0.84647626,0.8409975,0.8288753,0.823748,0.81626165,0.81373745,0.8042474,0.7912498,0.7820469,0.774735,0.77216834,0.7472782,0.74391353,0.72538626,0.71770513,0.69904166,0.68899655,0.6656849,0.65784156,0.63481957,0.6095444,0.6054884,0.58079255,0.57184875,0.5553128,0.53428084,0.5293277,0.47053885,0.46717253,0.44537225,0.4069658,0.37507242,0.35393506,0.32642645,0.3208545,0.30207095,0.23767169,0.21413533,0.20354943,0.17924762,0.16459613,0.13604957,0.117771104,0.1116745,0.09020542,0.06895616,0.013150732,0.010691978
0.9862039,0.98579234,0.9808881,0.9791414,0.9765996,0.9737558,0.97116154,0.96789247,0.9664375,0.964944,0.9633152,0.960986,0.95806247,0.9543608,0.9541319,0.9535204,0.9511681,0.9476439,0.9437671,0.9432858,0.9410779,0.939967,0.9371371,0.9348221,0.931338,0.9304292,0.92738235,0.9260527,0.92408043,0.92212075,0.91772306,0.91607076,0.9116139,0.9101625,0.904826,0.8979848,0.89633906,0.89411753,0.89237446,0.89032143,0.8870873,0.8844778,0.8746956,0.8712963,0.8674847,0.86431575,0.8583901,0.8479278,0.83681554,0.8310963,0.8254302,0.8233447,0.8128155,0.80403465,0.7875837,0.78122306,0.77456045,0.77233213,0.7623297,0.7493491,0.7432543,0.73494375,0.71887946,0.70941794,0.697656,0.6727064,0.6514152,0.6383196,0.6248532,0.6110603,0.60489035,0.5858597,0.5626797,0.53986657,0.5266128,0.517068,0.49711818,0.46106237,0.44931358,0.40790102,0.38827384,0.36846858,0.3552536,0.3377264,0.30850825,0.29758713,0.27629244,0.24750091,0.234488,0.21820791,0.20205955,0.15855305,0.14242217,0.11804471,0.08393745,0.07205874,0.048737083,0.041265503,0.021437094,0.016279541
0.9826009,0.97889155,0.97724825,0.9748139,0.97183836,0.96973044,0.9682235,0.9671552,0.96471614,0.9629152,0.96038485,0.95820296,0.95779276,0.95649034,0.9539884,0.9524766,0.95094854,0.94855905,0.9468282,0.9460094,0.9437873,0.9426618,0.94184566,0.9395328,0.93724275,0.9360261,0.9331552,0.932317,0.929038,0.9270501,0.92395324,0.923099,0.9190566,0.91738224,0.914972,0.91268,0.91097814,0.9068234,0.9025531,0.9012989,0.8984196,0.89664453,0.8910401,0.88895017,0.8862882,0.8828933,0.8803089,0.8740628,0.8672529,0.85750437,0.853165,0.84863,0.8452697,0.8356106,0.8309608,0.82381123,0.8207735,0.8123761,0.80592775,0.7964122,0.78610444,0.7848033,0.7812614,0.7687302,0.7656102,0.75062495,0.7431069,0.7245474,0.71482694,0.6998373,0.6821198,0.65882534,0.65592486,0.6329652,0.61964923,0.61146224,0.59110415,0.57749885,0.5607063,0.54510355,0.514017,0.50313056,0.4746376,0.4681883,0.40702212,0.39973718,0.35410255,0.34270576,0.3101609,0.27347273,0.22963771,0.21824613,0.18504012,0.16614568,0.13938028,0.096073285,0.066046655,0.052922744,0.0387299,0.03340235
0.9889424,0.9782955,0.97473335,0.9726904,0.97225046,0.96974593,0.967864,0.96706206,0.96347183,0.96204746,0.9601415,0.9595165,0.9577254,0.9561638,0.9539863,0.95372266,0.95004696,0.9492468,0.9469363,0.94578445,0.9452623,0.9442469,0.9405316,0.93832403,0.93644804,0.93432945,0.933123,0.9320031,0.9275993,0.9256785,0.9218668,0.9208219,0.91915476,0.917114,0.9125151,0.9108183,0.908854,0.90685135,0.9045363,0.9013237,0.8990611,0.89151245,0.88766134,0.88479894,0.8826605,0.8802034,0.8768494,0.87118113,0.8659302,0.8616839,0.8574997,0.8509884,0.8495649,0.8422675,0.83996844,0.8370305,0.8302493,0.8249474,0.8179001,0.80627507,0.8038431,0.8008132,0.78604895,0.78481877,0.7646701,0.76057965,0.7446108,0.7382913,0.7174994,0.7111145,0.7032926,0.6996838,0.68023515,0.6749529,0.6489733,0.6386199,0.6228613,0.6053727,0.57292724,0.55969554,0.5393958,0.500694,0.48549977,0.45309192,0.43863124,0.41909358,0.37401095,0.36299166,0.3572099,0.3303556,0.30836818,0.30009845,0.26210484,0.22770558,0.20168173,0.16338727,0.112970494,0.08244105,0.03130488,0.0023526195
0.9806559,0.9775429,0.9736835,0.9695943,0.9682716,0.9645673,0.962747,0.96143603,0.9604932,0.95849174,0.9573803,0.9557897,0.9547813,0.95300835,0.95150757,0.9489745,0.9488508,0.9477337,0.94588655,0.94544226,0.9438324,0.94247276,0.9409552,0.9359236,0.93464476,0.9324201,0.9314365,0.93097746,0.92874044,0.9259141,0.9245325,0.92324525,0.92093945,0.91618496,0.9151465,0.91283196,0.9101512,0.9024544,0.9008438,0.8990472,0.89608675,0.8935646,0.8903301,0.88864946,0.8847269,0.8811105,0.8775608,0.8740164,0.87043804,0.8651486,0.85996145,0.8571512,0.8507697,0.8474006,0.8408461,0.8376754,0.82768506,0.81692326,0.8148798,0.81060225,0.8095333,0.8015358,0.796646,0.77800095,0.7744548,0.7696851,0.7575057,0.7528402,0.7477756,0.7361906,0.71361685,0.6957463,0.6790445,0.66795737,0.6571182,0.6463654,0.63365877,0.62446487,0.602138,0.58806473,0.5656623,0.54329574,0.51963764,0.49909502,0.47726446,0.45918795,0.43352422,0.40342534,0.35301766,0.3446657,0.32140547,0.29060093,0.26591396,0.24812478,0.20809062,0.16574913,0.13086286,0.07374711,0.025060577,0.0062933024
0.97801644,0.9718652,0.9694185,0.9615556,0.9599979,0.95700306,0.9553091,0.95337963,0.95113647,0.9493732,0.947434,0.94621557,0.94418526,0.9420685,0.941843,0.93842185,0.93781674,0.9352657,0.93473434,0.9312884,0.93067783,0.92854977,0.92708516,0.9225402,0.9216073,0.91700435,0.91358656,0.9115779,0.90994513,0.9046679,0.9031408,0.9001765,0.8981065,0.8961997,0.89432466,0.8935534,0.886916,0.8846394,0.8832239,0.880344,0.87965465,0.87614614,0.8745752,0.8707231,0.8644997,0.86065614,0.85775554,0.856124,0.8537843,0.8489196,0.8433598,0.83902544,0.82905036,0.81867164,0.81361264,0.8077826,0.80410296,0.79804206,0.7899183,0.78086543,0.77170783,0.76934004,0.76448673,0.75017303,0.7409088,0.7348608,0.7295626,0.7085941,0.6941925,0.68867975,0.6777453,0.66504896,0.6541483,0.6233501,0.61351335,0.6023525,0.5895927,0.5755798,0.54621,0.5350492,0.52039546,0.48095348,0.47582778,0.45078433,0.44052324,0.42609236,0.40437895,0.37906602,0.35661778,0.34788522,0.28960556,0.25393233,0.2062173,0.18650118,0.17114913,0.13991255,0.0992228,0.06690173,0.036908302,0.005229414
0.97763276,0.96696913,0.9639698,0.96233207,0.96065366,0.95754194,0.9559925,0.95336604,0.9514664,0.9496907,0.94832975,0.9449078,0.94378936,0.9430935,0.9402492,0.93911517,0.9378143,0.93575895,0.9344071,0.930834,0.9290115,0.92784566,0.92626953,0.92456436,0.9227686,0.9210388,0.91824615,0.91578174,0.91412,0.9112066,0.90876573,0.90575045,0.9034279,0.9018455,0.8981972,0.89648694,0.88994247,0.88981074,0.8883141,0.88412046,0.8813522,0.88030857,0.87419814,0.87319815,0.8678334,0.86585116,0.8622584,0.85958415,0.8561731,0.8451572,0.84437686,0.8426648,0.8371947,0.83298266,0.82242686,0.8201769,0.8165644,0.8026165,0.7971964,0.7949079,0.7870753,0.7770373,0.77361524,0.7707611,0.7643497,0.7591183,0.74980587,0.7421467,0.72038966,0.71261245,0.70576787,0.6959775,0.6869995,0.67973423,0.6604885,0.6454735,0.64282876,0.63043034,0.60275555,0.5946442,0.552854,0.5473877,0.5293962,0.5018771,0.49605823,0.43495747,0.41389024,0.41024962,0.37331438,0.3601407,0.33818287,0.310814,0.28353322,0.2711598,0.19679143,0.17830011,0.13478512,0.11252889,0.07515567,0.00075872435
0.9758654,0.970202,0.9669861,0.96500456,0.96104014,0.95627606,0.9547977,0.9542182,0.9498588,0.9479012,0.94681776,0.945164,0.9446586,0.9419016,0.93944883,0.9384105,0.9366782,0.93584174,0.93458456,0.93278545,0.9296243,0.92865807,0.92656183,0.9249408,0.92396915,0.9196941,0.91918874,0.91550845,0.9139797,0.9109601,0.90890425,0.90602285,0.90463144,0.9010206,0.8978116,0.89505535,0.8935174,0.8925486,0.889048,0.88568175,0.8839608,0.8798863,0.87702256,0.8749743,0.8735242,0.8663976,0.86431265,0.8619837,0.85934657,0.85418797,0.8481731,0.8428639,0.838567,0.8332567,0.82916045,0.8263321,0.821361,0.8154875,0.8072549,0.7996802,0.7910052,0.78831255,0.7799622,0.7727296,0.7572326,0.75205004,0.74509966,0.7400268,0.72986376,0.7233412,0.72105145,0.70766,0.6947112,0.680353,0.67023736,0.6631906,0.6415583,0.6149159,0.5907532,0.5887433,0.56454873,0.5471701,0.5337521,0.48110396,0.4783585,0.44375053,0.43761,0.4060016,0.3882329,0.37412608,0.35581687,0.30602646,0.2649353,0.23385522,0.1704596,0.12873366,0.085973,0.05941814,0.033414084,0.0019490093
0.97365755,0.96646774,0.96325743,0.9583356,0.95726883,0.9527258,0.95134914,0.9483001,0.94523126,0.94376546,0.94149256,0.94079286,0.9384547,0.9336573,0.9323414,0.9313868,0.9292561,0.9283973,0.9265463,0.9251417,0.9231081,0.9209107,0.91810834,0.9164372,0.9159983,0.90852636,0.90716165,0.9051835,0.90242165,0.90006286,0.8979429,0.89688414,0.89344394,0.8913569,0.88888747,0.88715553,0.8833424,0.87909865,0.87699693,0.87644434,0.8736639,0.8710579,0.86623126,0.85969687,0.8572411,0.8529168,0.8494393,0.84353656,0.8382646,0.8368964,0.8259261,0.8249304,0.82081,0.81929725,0.8138367,0.80081135,0.79782164,0.7891763,0.78622514,0.78303814,0.7763777,0.7677196,0.7620874,0.7545415,0.7518718,0.7467485,0.7266443,0.7237793,0.71127576,0.7103329,0.69543725,0.68801,0.67379135,0.66718334,0.63880485,0.62372875,0.6128693,0.5938474,0.5778891,0.57143086,0.55798686,0.5383575,0.5219393,0.5099733,0.49238473,0.47596338,0.43527457,0.3827164,0.37412757,0.3514528,0.28597268,0.25265375,0.22341783,0.19683746,0.15678361,0.15542518,0.11533235,0.07976286,0.055709723,0.0019321304
0.96523905,0.9600884,0.95399094,0.94845474,0.9427995,0.93966246,0.93840826,0.9375101,0.9366519,0.9346094,0.9312477,0.9268726,0.926206,0.92227197,0.92103726,0.9177519,0.9169877,0.9133788,0.9129439,0.9107084,0.9074072,0.90653145,0.9059323,0.90459406,0.9012664,0.8988611,0.8977809,0.8937415,0.8930227,0.8896365,0.8875363,0.88233346,0.8788594,0.87600046,0.8721573,0.8708592,0.867135,0.86407393,0.85955554,0.8577228,0.8543291,0.85243994,0.84946084,0.84497553,0.8391579,0.83414906,0.8303232,0.8261315,0.82523286,0.8186297,0.81397164,0.8080559,0.8029016,0.7994667,0.79227364,0.7857898,0.78218156,0.77653503,0.7663776,0.76365477,0.7539916,0.7473347,0.7427981,0.7376522,0.7364458,0.71914285,0.71432966,0.70680845,0.69318503,0.6845494,0.67948717,0.6590143,0.639611,0.62912065,0.6222148,0.6163189,0.58861005,0.58170587,0.563831,0.5478825,0.53886074,0.5320595,0.47843137,0.4640936,0.45086873,0.40859777,0.40166244,0.37385705,0.3353553,0.32473752,0.26414922,0.22038788,0.2036958,0.18412845,0.15607235,0.13624749,0.10641581,0.08778833,0.02461483,0.008768925
